_id,large_category,middle_category,small_category,image_url,title,old_price,new_price,discount_rate,review_count,isSoldout
66320047f77a808f7991363e,outdoor,캠핑/여행,침구류,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202306/9eb66b79fb24fd53959178da1a88a4e8.png,피크닉매트 - Smile We Love Checkerboard,29800,26800,10%,226,false
66320047f77a808f7991363f,outdoor,캠핑/여행,침구류,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/fdfd246c2dd2505839d7f689846e9df0.jpg,사각 러그 - Checkerboard,49800,43800,,558,false
66320047f77a808f79913640,outdoor,캠핑/여행,침구류,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202306/09997554494f5aea3be16836653356fe.png,피크닉매트 - Popping Land,29800,26800,10%,98,false
66320047f77a808f79913641,outdoor,캠핑/여행,침구류,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202205/71ceedb3a6de6702e3a92cf7f67f4ed2.jpg,사각 러그 - Camping Bear,49800,43800,,558,false
66320047f77a808f79913642,outdoor,캠핑/여행,침구류,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/93e65d74bd18fad187a368feb90fefdf.png,피크닉매트 - Surfing Bear,29800,26800,10%,33,false
66320047f77a808f79913643,outdoor,캠핑/여행,침구류,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/50b090c79e6dcace5594199232b01c13.jpg,피크닉매트 - Smile we Love,29800,26800,10%,209,false
66320050f77a808f79913645,outdoor,캠핑/여행,파우치,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/4d1b6e8729c4e4cf008b8de09acdbe9f.jpg,패드 파우치,12800,9900,,744,false
66320050f77a808f79913646,outdoor,캠핑/여행,파우치,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/08b623c37015c18972da1f81f0531d62.jpg,코튼 파우치 - Smile We Love,9800,9800,,690,false
66320059f77a808f79913648,outdoor,캠핑/여행,캠핑용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202310/e3fd7f2771488b21fcf2921ba78286b4.jpg,캠핑 조명 SET - Travel Edition,78300,68900,,8,false
66320059f77a808f79913649,outdoor,캠핑/여행,캠핑용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/b3049f364aa325259f3459f967aceaa3.jpg,폴딩카트 - Smile We Love,48000,47200,2%,310,false
66320062f77a808f7991364b,outdoor,스포츠,골프,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202206/834e2ce642163fc81296e4ffdec9b339.jpg,빅 소프트 키링 - Smile We Love,13900,11800,,315,false
